#
#
#
wavelength	counts
7.070029e-07	16195.732342007435
7.083524e-07	18150.411985018727
7.097019000000001e-07	19725.875939849626
7.11051331e-07	20423.743396226415
7.124007e-07	20160.403041825095
7.1375e-07	19232.08396946565
7.150993e-07	18088.505747126437
7.16448547e-07	17365.68076923077
7.17797668e-07	17512.43023255814
7.19146851e-07	18644.252918287937
7.204959000000001e-07	20447.78125
7.218450000000001e-07	22359.09411764706
7.23194e-07	23796.42125984252
7.245429000000001e-07	24363.678571428572
7.258918e-07	24156.06349206349
7.272407e-07	23182.956
7.285895000000001e-07	21969.78313253012
7.299381e-07	20970.576612903227
7.312869e-07	20579.732793522267
7.326355e-07	21008.18699186992
7.339841310000001e-07	22130.808163265305
7.35332642e-07	23569.360655737706
7.36681152e-07	24897.85123966942
7.380296e-07	25817.31950207469
7.393779e-07	26157.4
7.407263000000001e-07	25961.435146443513
7.420746e-07	25411.432773109245
7.434228000000001e-07	24867.666666666668
7.447710570000001e-07	24586.455319148936
7.46119141e-07	24736.594017094016
7.47467163e-07	25533.03005464481
7.488153000000001e-07	26330.282967032967
7.501632000000001e-07	27209.024861878454
7.515111000000001e-07	28045.997245179064
7.528591000000001e-07	28545.138121546963
7.542069000000001e-07	28799.629120879123
7.555546000000001e-07	28740.462809917357
7.56902344e-07	28393.641666666666
7.582499390000001e-07	28043.57222222222
7.595976000000001e-07	27599.132394366196
7.609452e-07	27446.728291316525
7.62292664e-07	27177.745762711864
7.636401e-07	26857.653409090908
7.649875e-07	26590.101123595505
7.663348e-07	25762.485632183907
7.67682068e-07	25024.765042979943
7.690293000000001e-07	24224.49142857143
7.703764650000001e-07	23392.511494252874
7.717236000000001e-07	22824.272206303725
7.730707000000001e-07	22538.117142857143
7.74417664e-07	22455.64841498559
7.757646000000001e-07	22577.523255813954
7.771115e-07	22932.882183908045
7.784583000000001e-07	23032.51156069364
7.79805054e-07	22947.79827089337
7.81151855e-07	22441.623188405796
7.82498535e-07	21619.488304093567
7.838451e-07	20626.707602339182
7.8519165e-07	19589.54810495627
7.865382e-07	18717.394736842107
7.878846e-07	18161.825958702066
7.89231e-07	18162.970588235294
7.905773000000001e-07	18662.717647058824
7.919235e-07	19513.72997032641
7.932698360000002e-07	20678.25588235294
