wavelength in nm	Intensity in au
778.4583	10306.522427440634
779.805054	10218.685185185184
781.151855	9947.169398907105
782.498535	9566.571808510638
783.8451	9012.016759776536
785.19165	8545.101063829787
786.5382	8084.570902394107
787.8846	7945.4145658263305
789.231	8032.711111111111
790.5773	8418.318059299192
791.9235	8956.974431818182
793.269836	9614.232931726907
794.615967	10175.785515320335
795.962036	10575.066852367689
797.308044	10733.539509536784
798.654	10398.154929577464
799.999939	10229.254285714285
801.3458	9723.730245231607
802.6916	9050.409742120344
804.037354	8440.05540166205
805.383057	7929.666666666667
806.728638	7627.90395480226
808.074158	7431.701587301587
809.419739	7717.243401759531
810.765137	7998.787172011662
812.110535	8318.605113636364
813.4558	8550.124653739613
814.8011	8553.752976190477
816.14624	8495.266288951841
817.491455	8163.801960784313
818.8365	7788.346041055718
820.181458	7325.6
821.5265	6841.0
822.871338	6408.128279883382
824.2161	6122.244776119403
825.561	6055.774011299435
826.90564	6118.047337278106
828.250244	6339.246913580247
829.594849	6701.394202898551
830.9394	6965.326747720364
832.2838	7324.702941176471
833.6282	7543.160818713451
834.972534	7540.536434108527
836.3167	7561.348643006263
837.661	7435.873529411765
839.0051	7107.383757961784
840.3491	6932.388059701492
841.6932	6637.1547987616095
843.0371	6423.451965065502
844.381	6273.094801223242
845.724854	6173.311728395061
847.068542	6100.162754303599
848.4122	6115.338898163606
849.755859	6266.669811320755
851.099365	6315.307522123894
852.4429	6417.320241691843
853.7863	6445.861111111111
855.129639	6433.944099378882
856.4729	6408.333333333333
857.816162	6344.961797752809
859.1593	6286.053797468355
860.5023	6210.774193548387
861.8454	6137.016077170418
863.188354	6038.1940639269405
864.53125	5957.986754966887
865.8741	5906.142857142857
867.2168	5834.058064516129
868.559448	5713.486754966887
869.9021	5580.643769968051
871.2446	5416.5133779264215
872.5871	5252.046181172292
873.929565	5122.263788968825
875.271851	4944.556552962298
876.614136	4804.094373865699
877.95636	4716.644283121597
879.2985	4672.639798488665
880.6405	4614.530973451328
881.982544	4614.643274853801
883.324463	4642.578767123287
884.6663	4622.693203883495
886.0081	4615.15291750503
887.3498	4579.463276836158
888.691467	4509.503105590062
890.0331	4374.097156398104
891.3746	4257.739837398374
892.715942	4117.768796992481
894.0574	3893.6515463917526
895.3986	3676.923566878981
896.7398	3471.9
898.081055	3305.0958605664487
899.422058	3215.9749034749034
900.763062	3116.2139830508477
902.104	3102.348214285714
903.4449	3121.607966457023
904.785645	3183.076677316294
906.126343	3218.574660633484
907.467	3298.0041407867493
908.807556	3305.787081339713
910.1481	3310.4800884955753
911.488464	3259.36214953271
912.8288	3221.892703862661
914.1691	3076.4591836734694
915.509338	2897.48417721519
916.8494	2712.1528662420383
918.189453	2530.076595744681
919.5294	2317.8929663608565
920.8694	2156.186119873817
922.209167	2057.5992217898834
923.54895	1950.1870967741936
924.8886	1936.7056962025317
926.2282	1957.7171717171718
927.5677	1998.0151057401813
928.907166	2061.615
930.2466	2154.3347639484978
931.5859	2215.793258426966
932.925049	2254.838202247191
934.2642	2291.6860986547085
935.603333	2272.915254237288
936.942261	2222.8761904761905
938.28125	2154.1975806451615
939.620056	2035.4012738853503
940.9588	1918.5502183406113
942.297546	1790.1223628691982
943.6361	1661.0815047021943
944.9747	1568.5261324041812
946.3132	1473.3396226415093
947.6515	1423.3186119873817
948.989746	1387.087542087542
950.328	1377.1347826086956
951.6661	1387.7448979591836
953.00415	1374.2974683544303
954.3422	1374.2191780821918
